id,Fin_year,Week_no,Week_startdate,Week_enddate,Revision_no,Letter_refno,Letter_date,Payment_date,Disbursement_date,Lc_date,Interest_levydate,Entity,Fin_code,Outstandings,PayableorReceivable,ProRata,Amount,modified_remarks,Status,Consider_Week,Consider_Year,id-2,Pay_type,Pay_refno,Pay_date,Pay_amount,Due_amount,Paid_for,Status-2,reject_remarks,registration_id_id,Remarks,Bank_type
31,2020-21,52,2021-03-22,2021-03-28,Revision 0, SRPC/SE-1/4(Dev)/2020/ ,2021-04-06,2021-04-16,2021-04-19,2021-04-19,2021-04-19,TELANGANA,T0192,0,Payable,1309349,1309349,null,Complete,NULL,NULL,22,NEFT,ghjgj,2021-04-16,1309349,0,TELANGANA,Approved,Null,31,NULL,NULL
37,2021-22,1,2021-03-29,2021-04-05,Revision 0, SRPC/SE-1/4(Dev)/2020/ ,2021-04-14,2021-04-24,2021-04-24,2021-04-24,2021-04-24,TELANGANA,T0192,0,Payable,552228,552228,null,Complete,NULL,NULL,23,NEFT,gjhgsds,2021-04-23,552228,0,TELANGANA,Approved,Null,37,NULL,NULL
49,2021-22,3,2021-04-12,2021-04-18,Revision 0, SRPC/SE-1/4(Dev)/2020/ ,2021-04-27,2021-05-07,2021-05-11,2021-05-10,2021-05-10,TELANGANA,T0192,0,Payable,2312585,2312585,null,Complete,NULL,NULL,25,NEFT,2121231,2021-05-07,2312585,0,TELANGANA,Approved,Null,49,NULL,NULL
43,2021-22,4,2021-04-19,2021-04-25,Revision 0, SRPC/SE-1/4(Dev)/2020/ ,2021-05-04,2021-05-14,2021-05-17,2021-05-17,2021-05-17,TELANGANA,T0192,0,Payable,3350717,3350717,null,Complete,NULL,NULL,24,NEFT,dsdsa,2021-05-13,3350717,0,TELANGANA,Approved,Null,43,NULL,NULL
55,2021-22,5,2021-04-26,2021-05-02,Revision 0,SRPC/SE-1/3(Reac)/2021/,2021-05-11,2021-05-21,2021-05-24,2021-05-24,2021-05-24,TELANGANA,T0192,0,Payable,6466473,6466472,null,Complete,NULL,NULL,26,NEFT,566+5,2021-05-21,6466472,0,TELANGANA,Approved,Null,55,NULL,NULL
61,2021-22,6,2021-05-03,2021-05-09,Revision 0,SRPC/SE-1/3(Reac)/2021/,2021-05-18,2021-05-28,2021-06-02,2021-05-31,2021-05-31,TELANGANA,T0192,0,Payable,6799135,6799134,null,Complete,NULL,NULL,27,NEFT,ghfghj,2021-05-28,6799134,0,TELANGANA,Approved,Null,61,NULL,NULL
73,2021-22,7,2021-05-10,2021-05-16,Revision 0, SRPC/SE-1/4(Dev)/2020/ ,2021-05-25,2021-06-04,2021-06-07,2021-06-07,2021-06-07,TELANGANA,T0192,0,Payable,7192827,7192827,null,Complete,NULL,NULL,28,NEFT,4554,2021-06-04,7192827,0,TELANGANA,Approved,Null,73,NULL,NULL
79,2021-22,8,2021-05-17,2021-05-23,Revision 0,SRPC/SE-1/3(Reac)/2021/,2021-06-01,2021-06-11,2021-06-14,2021-06-14,2021-06-14,TELANGANA,T0192,0,Payable,10068592,10068591,prorata,Complete,NULL,NULL,30,NEFT, RTGS INW TG POWER DISTRIB RTGS   SBINR52021061128069517 TRANSFER FROM 94957000128,2021-06-11,10068592,0,TELANGANA,Approved,Null,79,NULL,NULL
77,2021-22,8,2021-05-17,2021-05-23,Revision 0,SRPC/SE-1/3(Reac)/2021/,2021-06-01,2021-06-11,2021-06-14,2021-06-14,2021-06-14,TAMIL NADU,A0073,0,Payable,1330607,1330606,prorata,Complete,NULL,NULL,29,NEFT, RTGS INW CFC / TANGEDCO   RTGS   CNRBR52021061162762647 TRANSFER FROM 94957000128,2021-06-11,1330607,0,TAMIL NADU,Approved,Null,77,NULL,NULL
85,2021-22,9,2021-05-24,2021-05-30,Revision 0,SRPC/SE-1/3(Reac)/2021/ ,2021-06-08,2021-06-18,2021-06-21,2021-06-21,2021-06-21,TELANGANA,T0192,0,Payable,8287806,8287806,null,Complete,NULL,NULL,32,NEFT, RTGS INW TG POWER DISTRIB RTGS   SBINR52021061828985676 TRANSFER FROM 94957000128,2021-06-18,8287806,0,TELANGANA,Approved,Null,85,NULL,NULL
83,2021-22,9,2021-05-24,2021-05-30,Revision 0,SRPC/SE-1/3(Reac)/2021/ ,2021-06-08,2021-06-18,2021-06-21,2021-06-21,2021-06-21,TAMIL NADU,A0073,0,Payable,1445987,1445987,null,Complete,NULL,NULL,31,NEFT, RTGS INW CFC / TANGEDCO   RTGS   CNRBR52021061863198645 TRANSFER FROM 94957000128,2021-06-18,1445987,0,TAMIL NADU,Approved,Null,83,TN,NULL
91,2021-22,10,2021-05-31,2021-06-06,Revision 0,SRPC/SE-1/3(Reac)/2021/ ,2021-06-15,2021-06-25,2021-06-28,2021-06-28,2021-06-28,TELANGANA,T0192,0,Payable,14377302,14377301,null,Complete,NULL,NULL,34,NEFT, RTGS INW TG POWER DISTRIB RTGS   SBINR52021062530022202 TRANSFER FROM 94957000128,2021-06-25,14377302,0,TELANGANA,Approved,Null,91,NULL,NULL
89,2021-22,10,2021-05-31,2021-06-06,Revision 0,SRPC/SE-1/3(Reac)/2021/ ,2021-06-15,2021-06-25,2021-06-28,2021-06-28,2021-06-28,TAMIL NADU,A0073,0,Payable,1727626,1727625,null,Complete,NULL,NULL,33,NEFT, RTGS INW CFC / TANGEDCO   RTGS   CNRBR52021062563574330 TRANSFER FROM 94957000128,2021-06-25,1727626,0,TAMIL NADU,Approved,Null,89,NULL,NULL
97,2021-22,11,2021-06-07,2021-06-13,Revision 0,SRPC/SE-1/3(Reac)/2021/,2021-06-22,2021-07-02,2021-07-05,2021-07-05,2021-07-05,TELANGANA,T0192,0,Payable,12659658,12659658,null,Complete,NULL,NULL,35,NEFT,23312312,2021-07-02,12659658,0,TELANGANA,Approved,Null,97,NULL,NULL
103,2021-22,12,2021-06-14,2021-06-20,Revision 0,SRPC/SE-1/3(Reac)/2021/  ,2021-06-29,2021-07-09,2021-07-12,2021-07-12,2021-07-12,TELANGANA,T0192,0,Payable,11600929,11600929,null,Complete,NULL,NULL,36,NEFT,12`121`,2021-07-09,11600929,0,TELANGANA,Approved,Null,103,NULL,NULL
109,2021-22,13,2021-06-21,2021-06-27,Revision 0,SRPC/SE-1/3(Reac)/2021/,2021-07-06,2021-07-16,2021-07-19,2021-07-19,2021-07-19,TELANGANA,T0192,0,Payable,8039582,8039581,null,Complete,NULL,NULL,37,NEFT,123123,2021-07-16,8039582,0,TELANGANA,Approved,Null,109,NULL,NULL
115,2021-22,14,2021-06-28,2021-07-04,Revision 0,SRPC/SE-1/3(Reac)/2021/ ,2021-07-13,2021-07-23,2021-07-26,2021-07-26,2021-07-26,TELANGANA,T0192,0,Payable,3987325,3987325,null,Complete,NULL,NULL,38,NEFT,neft,2021-07-23,3987325,0,TELANGANA,Approved,Null,115,NULL,NULL
121,2021-22,15,2021-07-05,2021-07-11,Revision 0, SRPC/SE-1/4(Dev)/2020/ ,2021-07-20,2021-07-30,2021-08-02,2021-08-02,2021-08-02,TELANGANA,T0192,0,Payable,1883968,1883968,null,Complete,NULL,NULL,39,NEFT,wewewe,2021-07-30,1883968,0,TELANGANA,Approved,Null,121,NULL,NULL
127,2021-22,16,2021-07-12,2021-07-18,Revision 0,SRPC/SE-1/3(Reac)/2021/ ,2021-07-27,2021-08-06,2021-08-09,2021-08-09,2021-08-09,TELANGANA,T0192,0,Payable,4094609,4094609,null,Complete,NULL,NULL,42,NEFT,56655656,2021-08-06,4094609,0,TELANGANA,Approved,Null,127,NULL,NULL
125,2021-22,16,2021-07-12,2021-07-18,Revision 0,SRPC/SE-1/3(Reac)/2021/ ,2021-07-27,2021-08-06,2021-08-09,2021-08-09,2021-08-09,TAMIL NADU,A0073,0,Payable,930429,930429,null,Complete,NULL,NULL,41,NEFT,866,2021-08-06,930429,0,TAMIL NADU,Approved,Null,125,NULL,NULL
122,2021-22,16,2021-07-12,2021-07-18,Revision 0,SRPC/SE-1/3(Reac)/2021/ ,2021-07-27,2021-08-06,2021-08-09,2021-08-09,2021-08-09,ANDHRA PRADESH,A0072,0,Payable,1041835,1041834,null,Complete,NULL,NULL,40,NEFT,666565,2021-08-06,1041835,0,ANDHRA PRADESH,Approved,Null,122,NULL,NULL
133,2021-22,17,2021-07-19,2021-07-25,Revision 0,SRPC/SE-1/3(Reac)/2021/,2021-08-03,2021-08-13,2021-08-16,2021-08-16,2021-08-16,TELANGANA,T0192,0,Payable,3702777,3702777,null,Complete,NULL,NULL,44,NEFT,DADASD,2021-08-13,3702777,0,TELANGANA,Approved,Null,133,NULL,NULL
