,id,Paid_date,Description,Paid_amount,Other_info,Bank_type,paystatus_fk_id,approved_date,Is_disbursed
0,4144,2024-11-30,   BY TRANSFER-CMP NLC INDIA LTD NEYVELI--CMP00000000983763382AOTO585743               TRANSFER FROM 10895129066                         NLC LTD TS I / ,338460.0,,SBI,13819,2024-12-02 11:54:16.164073,False
1,4145,2024-11-30, BY TRANSFER NEFT/ICIC/HS92433565921029  /AZURE POWER / TRANSFER FROM 97169000123 DEBIT SWEEP TO ACCT NO : 00000007922464206,8408.0,,IB,13784,2024-12-02 11:54:16.398430,False
2,4146,2024-11-30, BY TRANSFER NEFT/KKBK/CMS3352467587063  /LANCO KONDAP/ TRANSFER FROM 97167000125,33080.0,,IB,13810,2024-12-02 11:54:16.398430,False
3,4147,2024-11-30, BY TRANSFER NEFT/ICIC/HS92433565909629  /AZURE POWER / TRANSFER FROM 97168000124,6134.0,,IB,13791,2024-12-02 11:54:16.414040,False
4,4148,2024-11-30,   BY TRANSFER-CMP NLC INDIA LTD NEYVELI--CMP00000000983095816AOTO138412               TRANSFER FROM 10895129066                         NLC LTD TS I / ,115061.0,,SBI,13827,2024-12-02 11:54:16.414040,False
5,4149,2024-11-30,   BY TRANSFER-NEFT*ICIC0099999*CMS4682964088*INDIGRID LIMITED*IN--TRANSFER FROM 4698181044300 / ,6307.0,,SBI,13813,2024-12-02 11:54:16.445285,False
6,4150,2024-11-30,   BY TRANSFER-NEFT*ICIC0099999*CMS4682952486*INDIGRID LIMITED*IN--TRANSFER FROM 4698182044309 / ,10487.0,,SBI,13798,2024-12-02 11:54:16.476548,False
7,4151,2024-11-29, BY TRANSFER NEFT/HDFC/N334243421805096  /CMS ESCROW N/ TRANSFER FROM 94959000126,5889.0,,IB,13716,2024-12-02 11:54:16.476548,False
8,4152,2024-11-29,   BY TRANSFER-01/24 27.11.24--TRANSFER FROM 62344459665                         TG POWER DISTRIBUTION / ,955182.0,,SBI,13773,2024-12-02 11:54:16.492181,False
9,4153,2024-11-29,   BY TRANSFER-FUND TRANSFER--TRANSFER FROM 42987716836                         ADANI SOLAR ENERGY AP / ,21287.0,,SBI,13843,2024-12-02 11:54:16.492181,False
10,4154,2024-11-29,   BY TRANSFER-NEFT*DBSS0IN0811*0811OPM400143089*FFEPL-OPERATION--TRANSFER FROM 3199677044304 / ,17374.0,,SBI,13799,2024-12-02 11:54:16.492181,False
11,4155,2024-11-29,   BY TRANSFER-NEFT*BARC0INBBIR*001ONCU243340009*PARAMPUJYA SOLAR--TRANSFER FROM 4697189044300 / ,23699.0,,SBI,13834,2024-12-02 11:54:16.507798,False
